Load More,Xem thêm
Available Qty at WIP Warehouse,SL có sẵn trong kho sản xuất
Available Qty at Source Warehouse,SL có sẵn trong kho xuất
Returned Qty,SL đã hoàn trả
Consumed Qty,SL đã tiêu thụ
Transferred Qty,SL đã vận chuyển
Required Qty,SL yêu cầu
Operation Cost,Chi phí vận hành
Serial No and Batch for Finished Good,Số sê-ri và lô của thành phẩm
Connections,Kết nối
Configuration,Cấu hình
Amended From,Sửa đổi từ
Product Bundle Item,Thành phần trong gói sản phẩm
Production Plan Sub-assembly Item,Bán thành phẩm trong kế hoạch sản xuất
Production Plan Item,Mặt hàng trong kế hoạch sản xuất
Production Plan,Kế hoạch sản xuất
Sales Order Item,Mặt hàng trong đơn bán hàng
Material Request Item,Mặt hàng trong yêu cầu mua hàng
Material Request,Yêu cầu mua hàng
Item Description,Mô tả mặt hàng
More Info,Thông tin thêm
Total Operating Cost,Tổng chi phí vận hành
Corrective Operation Cost,Chi phí cho công đoạn khắc phục
Lead Time,Thời gian thực hiện
Actual End Date,Kết thúc thực tế
Actual Start Date,Bắt đầu thực tế
Additional Operating Cost,Chi phí vận hành bổ sung
Actual Operating Cost,Chi phí vận hành thực tế
Planned Operating Cost,Chi phí vận hành dự kiến
Expected Delivery Date,Ngày giao hàng dự kiến
Planned End Date,Kết thúc dự kiến
Planned Start Date,Bắt đầu dự kiến
Time,Thời gian
Transfer Material Against,Chuyển vật tư theo nguồn gốc
Batch Size,Quy mô lô sản xuất
Scrap Warehouse,Kho phế phẩm
Update Consumed Material Cost In Project,Cập nhật chi phí nguyên vật liệu tiêu thụ vào dự án
Backflush Raw Materials From Work-in-Progress Warehouse,Xả ngược nguyên liệu từ kho đang sản xuất
Skip Material Transfer to WIP Warehouse,Bỏ qua việc chuyển nguyên liệu đến kho sản xuất
Has Batch No,Có số lô
Has Serial No,Có số sê-ri
Use Multi-Level BOM,Sử dụng BOM nhiều cấp
Allow Alternative Item,Cho phép dùng vật tư thay thế
Required Items,Nguyên vật liệu cần thiết
Project,Dự án
Sales Order,Đơn bán hàng
Process Loss Qty,SL hao hụt trong quá trình
BOM No,Công thức sản xuất (BOM)
Disassembled Qty,SL đã tháo rời
Image,Hình ảnh
Manufactured Qty,SL đã sản xuất
Material Transferred for Manufacturing,Nguyên liệu đã chuyển cho sản xuất
Item To Manufacture,Thành phẩm cần sản xuất
Qty To Manufacture,SL cần sản xuất
Are you sure you want to delete the attachment?,Xác nhận xóa file đính kèm?
Loading import file...,Đang xử lý file...
Template Error,Lỗi bản nhập mẫu
Import template should contain a Header and atleast one row.,Mẫu nhập phải chứa Tiêu đề và ít nhất một hàng.
The following values do not exist for {0}: {1},Những giá trị sau: {1} không tồn tại sẵn trong {0}
Column {0},Cột {0}
Skipping Untitled Column,Bỏ qua cột trống
